paperid	year	doctype	doi
W3136964397	2021	preprint	https://doi.org/10.1101/2021.03.13.21253502
W3192185378	2021	preprint	https://doi.org/10.1101/2021.08.01.454649
W3194418046	2021	preprint	https://doi.org/10.1101/2021.08.17.456726
W3196032860	2021	article	https://doi.org/10.1038/s41540-021-00193-7
W3203115948	2021	article	https://doi.org/10.1016/j.yamp.2021.07.005
W3208026422	2021	preprint	https://doi.org/10.1101/2021.10.30.466610
W3210856582	2021	preprint	https://doi.org/10.1101/2021.10.30.466613
W3210894795	2021	preprint	https://doi.org/10.1101/2021.10.27.466144
W3211149207	2021	article	https://doi.org/10.3389/fpubh.2021.766707
W3216164296	2021	article	https://doi.org/10.1142/9789811250477_0017
W4200200150	2021	preprint	https://doi.org/10.1101/2021.10.30.466612
W4200292045	2021	preprint	https://doi.org/10.1101/2021.12.11.472233
W4226424741	2021	article	
W4220752447	2022	article	https://doi.org/10.1117/12.2609731
W4225301617	2022	preprint	https://doi.org/10.1101/2022.04.30.490136
W4225989348	2022	article	https://doi.org/10.4103/jpi.jpi_52_21
W4229008799	2022	article	https://doi.org/10.1145/3477314.3507007
W4229061000	2022	article	https://doi.org/10.1145/3477314.3507032
W4281293220	2022	preprint	https://doi.org/10.1101/2022.05.06.22274781
W4293420195	2022	preprint	https://doi.org/10.1101/2022.08.28.505606
W4309412060	2022	article	https://doi.org/10.1007/s10620-022-07759-3
W4309995509	2022	preprint	https://doi.org/10.1101/2022.11.21.517440
W4310191646	2022	preprint	https://doi.org/10.1101/2022.11.24.517856
W4310480930	2022	preprint	https://doi.org/10.1101/2022.11.28.22282835
W4315651993	2023	article	https://doi.org/10.1016/j.jpi.2023.100187
W4323052182	2023	preprint	https://doi.org/10.1101/2023.03.01.23286639
W4376637821	2023	preprint	https://doi.org/10.1101/2023.05.14.23289960
W4381488688	2023	article	https://doi.org/10.1364/omp.2023.om3e.4
W4381929653	2023	article	https://doi.org/10.3389/fonc.2023.1196517
W4385147142	2023	article	https://doi.org/10.1186/s13040-023-00338-w
W4385410075	2023	preprint	https://doi.org/10.1101/2023.07.30.551187
W4385767258	2023	preprint	https://doi.org/10.1101/2023.08.07.552349
W4386583417	2023	preprint	https://doi.org/10.1101/2023.09.09.23295302
W4387499626	2023	preprint	https://doi.org/10.1101/2023.10.09.23296700
W4387840704	2023	article	https://doi.org/10.1111/exd.14949
W4389868088	2023	article	https://doi.org/10.1142/9789811286421_0037
W4389870822	2023	article	https://doi.org/10.1142/9789811286421_0036
W4390542364	2024	article	https://doi.org/10.1038/s41698-023-00477-7
W4392712174	2024	preprint	https://doi.org/10.1101/2024.03.06.583819
W4397012939	2024	article	https://doi.org/10.1158/1557-3265.bladder24-b003
W4403145699	2024	article	https://doi.org/10.1093/bib/bbae476
